WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.8 -6.6)",1471.0,12.0,Kabupaten Bogor,3201.0,2.0,-6.6,106.8,1.0
"POINT (106.9222 -6.92405)",1472.0,12.0,Kabupaten Sukabumi,3202.0,2.0,-6.92405,106.9222,1.0
"POINT (107.1307 -6.81725)",1473.0,12.0,Kabupaten Cianjur,3203.0,2.0,-6.81725,107.1307,1.0
"POINT (107.6098 -6.91474)",1474.0,12.0,Kabupaten Bandung,3204.0,2.0,-6.91474,107.6098,1.0
"POINT (107.9087 -7.22791)",1475.0,12.0,Kabupaten Garut,3205.0,2.0,-7.22791,107.9087,1.0
"POINT (108.2141 -7.32795)",1476.0,12.0,Kabupaten Tasikmalaya,3206.0,2.0,-7.32795,108.2141,1.0
"POINT (108.35 -7.33333)",1477.0,12.0,Kabupaten Ciamis,3207.0,2.0,-7.33333,108.35,1.0
"POINT (108.4833 -6.98333)",1478.0,12.0,Kabupaten Kuningan,3208.0,2.0,-6.98333,108.4833,1.0
"POINT (108.564 -6.71553)",1479.0,12.0,Kabupaten Cirebon,3209.0,2.0,-6.71553,108.564,1.0
"POINT (108.2259 -6.8531)",1480.0,12.0,Kabupaten Majalengka,3210.0,2.0,-6.8531,108.2259,1.0
"POINT (107.9228038 -6.8425908)",1481.0,12.0,Kabupaten Sumedang,3211.0,2.0,-6.8425908,107.9228038,1.0
"POINT (108.3251 -6.33632)",1482.0,12.0,Kabupaten Indramayu,3212.0,2.0,-6.33632,108.3251,1.0
"POINT (107.7524 -6.56936)",1483.0,12.0,Kabupaten Subang,3213.0,2.0,-6.56936,107.7524,1.0
"POINT (107.4499 -6.53868)",1484.0,12.0,Kabupaten Purwakarta,3214.0,2.0,-6.53868,107.4499,1.0
"POINT (107.3376 -6.32273)",1485.0,12.0,Kabupaten Karawang,3215.0,2.0,-6.32273,107.3376,1.0
"POINT (107.1689131 -6.3739288)",1486.0,12.0,Kabupaten Bekasi,3216.0,2.0,-6.3739288,107.1689131,1.0
"POINT (107.4322 -6.89371)",1487.0,12.0,Kabupaten Bandung Barat,3217.0,2.0,-6.89371,107.4322,1.0
"POINT (106.8 -6.6)",1488.0,12.0,Kota Bogor,3271.0,2.0,-6.6,106.8,1.0
"POINT (106.9222 -6.92405)",1489.0,12.0,Kota Sukabumi,3272.0,2.0,-6.92405,106.9222,1.0
"POINT (107.6098 -6.91474)",1490.0,12.0,Kota Bandung,3273.0,2.0,-6.91474,107.6098,1.0
"POINT (108.564 -6.71553)",1491.0,12.0,Kota Cirebon,3274.0,2.0,-6.71553,108.564,1.0
"POINT (107.1661684 -6.369833)",1492.0,12.0,Kota Bekasi,3275.0,2.0,-6.369833,107.1661684,1.0
"POINT (106.83 -6.39)",1493.0,12.0,Kota Depok,3276.0,2.0,-6.39,106.83,1.0
"POINT (107.5355 -6.88024)",1494.0,12.0,Kota Cimahi,3277.0,2.0,-6.88024,107.5355,1.0
"POINT (108.2141 -7.32795)",1495.0,12.0,Kota Tasikmalaya,3278.0,2.0,-7.32795,108.2141,1.0
"POINT (108.5333 -7.36667)",1496.0,12.0,Kota Banjar,3279.0,2.0,-7.36667,108.5333,1.0
